destination,id
부춘정원림,705104
국채보상운동기념공원,651687
의정부부대찌개거리,612807
부인사(대구),317499
전주한옥마을[슬로시티],264284
대둔산자연휴양림,126963
궁촌해변(궁촌해수욕장),126649
목포유달산공원,126257
서천식물예술원,1055310
사진놀이터,2624962
국립대운산치유의숲,2555756
거진등대해맞이공원,2401957
상록리조트눈썰매장,131545
주문진항,131271
땅끝해양자연사박물관,130563
계룡산자연사박물관,130560
설리 해수욕장,129487
안동 하회촌,129278
팔미도등대,129128
제주유리의성,642353
감포항,128677
이월드,128627
학암포해수욕장,127917
탁사정,127904
송지호 해수욕장,127874
서현동먹거리촌,127373
직탕폭포 (한탄강 국가지질공원),125653
보리나라학원농장,125447
팔영산자연휴양림,125426
"월남 파병용사 만남의 장 (구, 베트남 참전용사 만남의 장)",800214
포천 이동갈비마을,612915
디오션리조트 워터파크,587699
포천아우라지배개용암(한탄강국가지질공원),2569473
서귀포 전기버스 시티투어,2525534
석모도미네랄온천,2490886
초도항,2402721
엑스포해양공원,2037308
거금생태숲,2032450
오봉산,1612244
한강시민공원 잠실지구(잠실한강공원),970460
홍원항,129458
해오름예술촌,128271
추자도,127863
광주패밀리랜드,127539
전주풍패지관,126387
상주은모래비치,126084
속초해변,125707
계양산,1113230
분당정자동카페거리,1053768
국립 달음산자연휴양림,2606230
초원사진관,2605927
세어도,2547987
마이산 벚꽃길,2521977
담양 명옥헌 원림,228892
웃다리문화촌,2018386
동악산 (곡성),2014608
울릉예림원,1994204
태백 상장동 벽화마을,1809602
경상북도 산림과학박물관,130671
마장호수,750804
자은도,577866
월정사(제주),347234
호미곶해안단구,2614561
북한산국립공원,127220
해동용궁사(부산),126848
비자림,126472
청량사(합천),126146
서천마량리동백나무숲,126010
생각하는 정원,125445
금능해수욕장,591866
춘천 애니메이션박물관,2633906
줄포만갯벌생태공원,252578
광주대인시장/대인예술시장,2488220
"방화동 자연휴양림,가족휴가촌",1623888
섬진강어류생태관,1321143
학성공원,128211
척산온천지구,128123
남이섬,128019
구곡산,127785
경상북도독립운동기념관,795012
단대동닭죽촌,611738
아라크노피아 생태수목원·주필거미박물관,128219
간월산 자연휴양림,128205
운일암 반일암 계곡,127893
이작도(풀등+갯티길),126801
청주상당산성,125964
청평사(춘천),125762
주문진해변,125699
알펜시아 오션700,1071342
우포늪생태관,661980
분원리 붕어찜마을,612323
이안숲속,433027
얼음골축음기소리박물관(밀양),2552568
보강천미루나무숲,2407325
구리시민한강공원(코스모스공원),228874
팔봉산관광지,1626062
제주서커스월드공연장,130512
대가야박물관,130099
묵계서원 및 안동김씨 묵계종택,129035
월정리해수욕장,1918639
한국항공대학교 항공우주박물관,130725
청사포,129602
대변항,129092
불영사(울진),127921
남열해돋이해수욕장,127546
"장령산자연휴양림(구, 장용산자연휴양림)",127534
아산온천,126538
외연도,125853
청초호,125750
전남신안증도[슬로시티],575607
수기해변,264616
"보물섬전망대,스카이워크",2639965
달전리 주상절리 (경북 동해안 국가지질공원),2614503
지중해마을,2606741
아름다운정원화수목,2498883
국립부산과학관,2385666
절부암,228864
오대산국립공원,125591
봉화산(서울),1115042
"거북바위 및 향나무 자생지 (울릉도, 독도 국가지질공원)",1704748
담양 창평 삼지내마을[슬로시티],128953
산이반도,127039
대원사(보성),126612
농소몽돌해변,126580
여차해변 (여차몽돌해수욕장),126579
"서울 헌릉(태종,원경왕후)과 인릉(순조,순원왕후) [유네스코 세계문화유산]",126530
천지연폭포(제주도국가지질공원),126438
죽도해변(양양),125720
삼악산(춘천),125604
봉서사(서천),317475
소양강 하안단구 (강원평화지역 국가지질공원),2616518
화조원,2606209
공곶이,2536196
퇴계종택,250369
고흥우주천문과학관,2379568
판교박물관,2371204
서산버드랜드,2037280
신시모도,2024639
무궁화학습원(괴목정),1937770
심천역(영동),975852
의성금성산고분군,791558
대원공원,753948
철원평화전망대,561034
익산 토성,126945
홍길동 생가,126783
광주호,126329
경주월드어뮤즈먼트,126228
갑사,125891
용암사(옥천),125890
용암서원(장수),1957034
대관령 하늘목장,1949976
광주 곤지암도자공원,1903260
봉황경(능암리섬),1646664
한국가사문학관,130323
경기영어마을 파주캠프,129195
오동도,128025
앙성온천지구,128006
성철대종사생가(겁외사),127485
한화리조트 산정호수 온천,126955
춘천강언덕마을[농촌전통테마],800528
카멜리아힐,741109
내변산,717109
수리뫼 [한국전통음식체험교육원],611491
장산 (부산 국가지질공원),2614727
K-Taekwon school 태권도체험,2601380
정남진 전망대,2514004
실리도,2387080
비토섬,2371675
청도한옥학교,1141637
영월곤충박물관,130467
전촌솔밭해변,128680
나정고운모래해변,128679
강동몽돌해변,128199
명월대,127909
암태도,127758
보길도,127652
미조항,127471
부산차이나타운특구(상해문.상해거리),127151
사량도지리산,126852
뮤지엄 산,2633832
칠성전망대,2568601
봉하마을,2514460
산내들패밀리어드벤처파크,2501595
수도산자연휴양림,2369371
김대중 노벨평화상기념관,1994953
안양중앙공원,1624639
경주 흥덕왕릉,1621759
낙덕정,1610702
태백 고생대자연사박물관,1337616
강구항,988459
홍대,781031
곤지암리조트,646762
사의재저잣거리,2650800
인사동,264353
월성계곡,127137
외도보타니아,126581
파계사,126161
마곡유원지,125733
사천해변(사천해수욕장),125696
한국(문인)인장박물관,1937650
청풍호관광모노레일,1908249
담양 송강정,1623806
아부오름,1351320
한국야구명예전당,130141
두물머리애벌레생태학교,128221
국립 3·15 민주묘지,127702
우도잠수함,127363
화순 서유리 공룡발자국화석 산지,127191
강화덕진진,127185
조안베어뮤지엄,819583
춘천명동거리,264434
몰운대 (부산 국가지질공원),2614721
범패사,2398842
경주 감은사지,128637
하동쌍계사,128146
유곡천,127397
성주댐(성주호),126940
"여주영릉(英陵)세종대왕)과영릉(寧陵)효종,인선왕후)[유네스코세계문화유산]",125573
영산포 홍어거리,1185331
노을이 물드는 언덕,2414735
아홉산숲,2385686
완도 해산물장터,228908
옹기종기행복마을,1888656
세화해변,1621077
부산진시장,132189
양구통일관,130736
김영갑갤러리(두모악),130723
당진왜목마을,129064
장경리해수욕장,128997
반딧불이천문대,2650446
유황편백탕,2522013
심학산산림공원,1916761
삼천포용궁수산시장,1897446
금강호 관광지,1624685
제주해녀항일운동기념탑,1621118
백련사(서울),128028
제3땅굴,127000
당진삽교호,126847
대아수목원,125415
은대리 판상절리와 습곡구조 (한탄강 국가지질공원),2616500
자양동양꼬치거리(중국음식문화거리),2401757
박사마을,2396489
가고파꼬부랑길벽화마을,2019720
걸시오름,1918965
봉선사(경기),126539
논개사당(의암사),126408
광한루원,126397
보림사(장흥),126367
수문해수욕장,126295
마비정 벽화마을,1970811
인천시립박물관컴팩스마트시티,1851364
휘닉스파크(워터파크),131300
조류생태전시관,129461
법성포,129217
태학산자연휴양림,128917
여주참숯마을,128699
가지산 탄산유황온천,127979
제주조각공원(포레스트 판타지아),127948
"금강자연휴양림(금강수목원,산림박물관)",127821
죽림사(영천),479942
사천항공우주박물관,2473002
국립산림치유원,2447115
영월동강생태공원,2401137
원주허브팜,2357794
봉국사(성남),127369
옥정호(물안개길),126551
올림픽공원,126532
성읍민속마을,126471
고양서오릉[유네스코세계문화유산],125552
국립대구과학관,1956986
대포서원(김포),1955955
신영영화박물관 무비스타,130186
천방산,129623
신지동고해수욕장,129538
벌랏한지마을,129343
서귀포유람선 뉴파라다이스호,128838
경주 신문왕릉,128681
한택식물원,127823
대왕암공원,127515
양남 주상절리군 (경북 동해안 국가지질공원),2614515
유성 족욕체험장,2605899
종달리 해안도로,2602741
양림역사문화마을,2524187
서동요 테마파크,251994
대저생태공원,2487925
고생대 화석산지,2406358
국립 통고산자연휴양림,125430
계양산산림욕장,1114802
와룡공원,1019041
용추폭포(고창),1597542
제천 산야초마을,128410
"중문관광단지(대포해안,주상절리대)",127492
양양 송천떡마을,127037
수리사(경기),126843
일동제일유황온천,126573
칠불사(하동),126185
호박소계곡,126061
추사고택,125936
이상재선생 생가지,125928
국립 백운산자연휴양림(원주),688257
연천 나룻배마을,630374
화진포의 성(김일성별장),529493
단호사(충주),299977
국립대관령치유의숲,2554069
심곡항,2398205
장항 스카이워크 (기벌포 해전 전망대),2014285
피싱파크 진산각,1784985
추사김정희선생고택·묘,1627167
안양예술공원,125514
사근진해변(사근진해수욕장),128727
파주 삼릉 [유네스코 세계문화유산],127679
월미도,127585
국화도,127134
비금도,126821
가진해변,126785
장자도,126299
울릉도,126101
부석사(서산),125879
치악산국립공원,125587
기억을 모으는 미술관 ART-TEA,2612291
예산황새공원,2586628
임진강 황포돛배,2569455
목포근대역사관 2관,1908176
고산,1595802
통영항,1304613
보성군립백민미술관,130113
국립진주박물관,129774
왕산해수욕장,129256
공지천 조각공원,129004
보령 청소역,975948
안산 어촌민속박물관,654645
신풍신천바다목장,635701
국립 두타산자연휴양림,407252
한라산 영실,126469
송광사(순천),126371
제황산공원,126139
운주산성,125981
관촉사(논산),125905
백령도,125505
경상남도수목원,127816
우이도 돈목해수욕장,127764
영일대해수욕장,127698
구룡포해수욕장,127214
청곡사(진주),127113
통영 한산도 이충무공 유적,126948
무의도,126797
영일만온천,126648
양주 회암사지,126544
홍릉수목원,126500
마린시티,2617724
매봉산풍력발전단지(바람의 언덕),2610091
봉학골산림욕장,250456
죽도(진안),1627968
군산공설시장,132313
닥종이인형박물관,130855
인천도호부청사,129341
대관령양떼목장,129263
함평 자연생태공원,129235
리솜오션캐슬 아쿠아월드,127958
옥천리 냉면마을,612752
천서리 막국수촌,612541
직지문화공원,578954
채만식문학관,130332
아그로랜드 태신목장,129546
자은 분계해수욕장,127757
학가산자연휴양림,127697
용연동굴 (강원고생대 국가지질공원),126732
국립 방태산자연휴양림,126677
한림공원,126455
만어사,304789
국립영천호국원,252604
삼귀해안,252574
오산중앙시장,1433294
풍기인삼시장,132535
이병기선생 생가,1313645
쌍봉사(화순),126358
금오산도립공원,126016
공주공산성[유네스코세계유산],125949
여주온천,1179738
헬로우뮤지움,2488585
국립낙동강생물자원관(상주),2037694
담양대나무숲(담양습지),1646593
삼탄유원지,1627240
백산저수지,1599383
백제도예원,1582423
화성 백미리마을,129410
경상북도수목원,127432
달마산,127385
성락원(서울),126826
신창풍차해안도로,2663250
달빛쌈지공원,2625206
소리체험박물관,2611136
문화철도 959,2592089
정남진천문과학관,2514062
부산송도해상케이블카,2504464
위례산과 위례성지,126779
문수산산림욕장,126703
신양 섭지코지해변,126447
지경리해변,125681
경암동철길마을,2605528
정토사(성남),2551122
쌍암공원,250453
초등교육박물관,2401178
구송정 유원지,2357444
사교루,1623767
독일마을,129489
사명대사 생가지,128889
이천 산수유마을,127978
만성리검은모래해변,127547
월하성어촌체험마을,128136
아산공세리성당,128127
월출산국립공원,127672
화양구곡(화양동계곡),127474
주상절리대(대포동지삿개),127053
황계폭포,126698
서서울호수공원,1265735
안덕계곡,126440
밀양 얼음골,126063
옥토끼우주센터,1039170
평촌먹거리촌,611419
현대어린이책미술관,2371001
강원 영월 김삿갓 [슬로시티],1857095
프로방스마을,129196
방호정 감입곡류천 (청송 국가지질공원),129041
덕천해수욕장,129011
죽녹원,128834
알뜨르비행장 및 일본군 비행기 격납고,128640
농암종택,128559
개실마을,128474
광주산두른마을[농촌전통테마],802566
경화역벚꽃길,716272
그리스신화박물관,1556005
제주민속촌,130474
수주팔봉,129465
울산체육공원,129453
남산케이블카,128776
화산천주교회(나바위 성당),127437
아야진해변,125684
율리휴양촌,1087135
무수천하마을,803712
국립과천과학관,660722
만재도,578216
마산아트센터,2659216
중앙호수공원 카페거리,2615323
목포서산동보리마당&시화마을,2615033
"알봉 (울릉도, 독도 국가지질공원)",2614652
양림동펭귄마을,2603494
하화도,2497099
창원과학체험관,1904774
서대문자연사박물관,130448
오도재와 지리산조망공원,128629
사나사 계곡,127365
압구정로데오거리,126823
김대중 대통령 생가,126750
공주송산리고분군과무령왕릉[유네스코세계유산],126681
어청도,126297
구리동구릉[유네스코세계문화유산],125545
제부도,125503
서래마을,1021339
아이니테마파크(대구스타디움점),2498819
약암홍염천,2396496
소래포구,2020690
하늬복이오름,1923590
백수해안도로,1874060
"홍천테마파크(구, 예술촌)",1626171
청호저수지,1610389
능인선원,1603149
광장시장,132183
유관순열사기념관,130495
농산정,950593
정남진(장흥),777228
상동호수공원,756618
낙월도,577708
"저동해안산책로 (울릉도, 독도 국가지질공원)",2614676
완도모노레일,2518800
삼부연폭포 (한탄강 국가지질공원),125652
남한산성도립공원[유네스코세계문화유산],125449
국립청태산자연휴양림,125266
사라오름,1215292
어비계곡,129659
고모산성,129451
함안 말이산 고분군,128689
삼척 해신당공원,128633
선암사(부산),128053
홀통유원지·홀통해변,127706
예천온천,127178
봉수대해변,126691
정방폭포,126437
무위사,126357
교동도 대룡시장,2492108
통영박경리기념관,2369504
사곶해변,1932853
거제어촌민속전시관,1622179
노량진수산물도매시장,132216
고군산군도,131279
세계민속악기박물관,130680
서울 석촌동 고분군,127466
옥포대첩기념공원,127258
촉석루,126217
문경 구 가은역,975913
세빛섬,970052
신광사(세종),319721
금산인삼약령시장,273736
선유도공원,2661405
인천차이나타운,264512
서울망원시장,2499807
잣향기푸른숲,2407108
수월봉과 차귀해안,228859
신영시장,1979613
서천이색체험마을,128332
고려 공양왕릉,128139
안흥찐빵마을,128074
성주 한개마을,127717
성주산자연휴양림,127382
덕동해수욕장,127100
지리산온천랜드,126476
강천산군립공원,126249
"남애해변(남애1, 3리)",125700
국립 삼봉자연휴양림,125420
한반도 뗏목마을,770251
테미오래,2663239
서귀포치유의숲,2660763
흰여울문화마을,2606221
함월루,2502643
철원토성및석조물,2405901
동강전망자연휴양림,2402845
대도,2387088
박수근미술관,130493
한국최초 성경전래지 기념관,129459
한라생태숲,802844
대장경테마파크,1905508
김해클레이아크,130841
영덕어촌민속전시관,130702
묵호항,129588
구봉산(대전),127683
미리내 성지,127556
불갑사(영광),126349
애기봉(김포),125454
무등산 주상절리대,1074432
강서습지생태공원,809490
무주머루와인동굴,778333
면앙정,742828
주작산자연휴양림,643998
주전어촌체험마을,2650827
태화루,2502631
여차 홍포전망대,2030003
배다골테마파크,1917062
식장산(식장산 문화공원),1083960
한강시민공원뚝섬지구(뚝섬한강공원),1030763
영취산(여수),128017
천수만(철새도래지),127972
명지산군립공원,127806
만뢰산자연생태공원,127792
국립 칠보산자연휴양림,127712
서울몽촌토성,127525
설매재자연휴양림,127170
대청호,126846
돈내코(원앙폭포),126441
감악산(파주),125450
동피랑마을,753306
영등포신길동홍어거리,749355
시안미술관,615222
허브빌리지,2569457
백두대간 생태수목원,2402848
광명업사이클아트센터,2034106
오송제,1587082
웰리힐리파크,131299
우제길미술관,130639
남해 관음포 이충무공 유적,129480
용마산,814123
엄홍길전시관,804318
대한성공회 강화성당,128819
보라매공원,127940
대천해수욕장,127866
중원폭포,127687
논개-논개생가지,127125
이효석문화마을,126842
도솔계곡(선운산),126262
유치자연휴양림,125421
